Word,Disambiguation,Part of Speech,Definition,Notes
"*** START OF THIS PROJECT GUTENBERG EBOOK WEBSTER'S UNABRIDGED DICTIONARY ***
","
",,,,
"A
",,,,,
"A
",,,,,
"A
",A,prep.,,,
"A
",,,,,
"A
","A.
",,,,
"A
","A.
",,,,
"A-
","A-
",,,,
"A 1
",,,,,
"AAM
",Aam,n.,,,
"AARD-VARK
","Aard""-vark`",n.,,,
"AARD-WOLF
","Aard""-wolf`",n.,,,
"AARONIC; AARONICAL
","Aa*ron""ic",,,,
"AARON'S ROD
",,,,,
"AB-
",,,,,
"AB
",Ab,n.,,,
"ABACA
","Ab""a*ca",n.,,,
"ABACINATE
","A*bac""i*nate",,,,
"ABACINATION
","A*bac`i*na""tion",,,,
"ABACISCUS
","Ab`a*cis""cus",n.,,,
"ABACIST
","Ab""a*cist",n.,,,
"ABACK
","A*back""",adv.,,,
"ABACK
","Ab""ack",,,,
"ABACTINAL
","Ab*ac""ti*nal",a.,,,
"ABACTION
","Ab*ac""tion",,,,
"ABACTOR
","Ab*ac""tor",n.,,,
"ABACULUS
","A*bac""u*lus",,,,
"ABACUS
","Ab""a*cus",n.,,,
"ABADA
","Ab""a*da",n.,,,
"ABADDON
","A*bad""don",n.,,,
"ABAFT
","A*baft""",prep.,,,
"ABAFT
","A*baft""",adv.,,,
"ABAISANCE
","A*bai""sance",n.,,,
"ABAISER
","A*bai""ser",,,,
"ABAIST
","A*baist""",,,,
"ABALIENATE
","Ab*al""ien*ate",,,,
"ABALIENATION
","Ab*al`ien*a""tion",n.,,,
"ABALONE
","Ab`a*lo""ne",n.,,,
"ABAND
","A*band""",,,,
"ABANDON
","A*ban""don",,,,
"ABANDON
","A*ban""don",n.,,,
"ABANDON
","A`ban`don""",n.,,,
"ABANDONED
","A*ban""doned",,,,
"ABANDONEDLY
","A*ban""doned*ly",,,,
"ABANDONEE
","A*ban`don*ee""",n.,,,
"ABANDONER
","A*ban""don*er",,,,
"ABANDONMENT
","A*ban""don*ment",n.,,,
"ABANDUM
","A*ban""*dum",n.,,,
"ABANET
","Ab""a*net",,,,
"ABANGA
","A*ban""ga",n.,,,
"ABANNATION; ABANNITION
","Ab`an*na""tion",n.,,,
"ABARTICULATION
","Ab`ar*tic`u*la""tion",n.,,,
"ABASE
","A*base""",n.,,,
"ABASED
","A*based""",,,,
"ABASEDLY
","A*bas""ed*ly",,,,
"ABASEMENT
","A*base""ment",n.,,,
"ABASER
","A*bas""er",,,,
"ABASH
","A*bash""",n.,,,
"ABASHEDLY
","A*bash""ed*ly",,,,
"ABASHMENT
","A*bash""ment",n.,,,
"ABASIA
","A*ba""si*a",n.,,,
"ABASSI; ABASSIS
","A*bas""si",n.,,,
"ABATABLE
","A*bat""a*ble",,,,
"ABATE
","A*bate""",,,,
"ABATE
","A*bate""",,,,
"ABATE
",A*bate,,,,
"ABATEMENT
","A*bate""ment",n.,,,
"ABATER
","A*bat""er",,,,
"ABATIS; ABATTIS
","Ab""a*tis",n.,,,
"ABATISED
","Ab""a*tised",,,,
"ABATOR
","A*ba""tor",n.,,,
"ABATTOIR
","A`bat`toir""",,,,
"ABATURE
","Ab""a*ture",n.,,,
"ABATVOIX
","A`bat`voix""",n.,,,
"ABAWED
","Ab*awed""",,,,
"ABAXIAL; ABAXILE
","Ab*ax""i*al",a.,,,
"ABAY
","A*bay""",n.,,,
"ABB
",Abb,n.,,,
"ABBA
","Ab""ba",n.,,,
"ABBACY
","Ab""ba*cy",,,,
"ABBATIAL
","Ab*ba""tial",a.,,,
"ABBATICAL
","Ab*bat""ic*al",,,,
"ABBE
","Ab""bé`",,,,
"ABBESS
","Ab""bess",n.,,,
"ABBEY
","Ab""bey",,,,
"ABBOT
","Ab""bot",n.,,,
"ABBOTSHIP
","Ab""bot*ship",n.,,,
"ABBREVIATE
","Ab*bre""vi*ate",,,,
